authority_id,code,phone,fax,email,covid19hotline,covid19e_mail,covid19fax,aussteige_hotline,aussteige_e_mail,aussteige_fax
241,1.15.0.02.,0345 221-3220,0345 221-3222,gesundheitsamt@halle.de,,,,,,
242,1.15.0.03.,0391 540-6001,0391 540-6006,gesundheitswesen@magdeburg.de,,,,,,
243,1.15.0.81.,03901 840 570,03901 840 585,Gesundheitsamt@altmarkkreis-salzwedel.de,,,,,,
244,1.15.0.82.02.,034 96  60 17 51,034 96  60 17 52,gesundheitsamt@anhalt-bitterfeld.de,,,,,,
245,1.15.0.83.01.,03904 7240-2551,03904 7240-52667,gesundheit@landkreis-boerde.de,,,,,,
246,1.15.0.84.02.,03445 731673,03445 731675,gesundheitsamt@blk.de,,,,,,
247,1.15.0.85.03.,03941 5970 2301,03941 59 70-2300,gesundheitsamt@kreis-hz.de,,,,,,
248,1.15.0.86.,03921 949-5300,03921 949-9653,gesundheitsamt@lkjl.de,,,,,,
249,1.15.0.87.02.,03464 535-4400,03464 535-4490,gesundheitsamt@lkmsh.de,,,,,,
250,1.15.0.88.02.,03461 40 1700,03461 40 1702,Gesundheitsamt@saalekreis.de,,,,,,
251,1.15.0.89.01.,03471 684-1471,03471 684-551470,gesundheit@kreis-slk.de,,,,,,
252,1.15.0.90.,03931 607-900,03931 607-902,Gesundheitsamt@landkreis-stendal.de,,,,,,
253,1.15.0.91.,03491 479-348,03491 479-351,gesundheitsamt@landkreis-wittenberg.de,,,,,,
254,1.16.0.51.,0361 655-4201,0361 655-4259,infektionsschutz@erfurt.de,0361 655 4252,faxinfektionsschutz@erfurt.de,,,,
255,1.16.0.52.,0365 838 3501,0365 838 3505,gesundheit@gera.de,0365 838 3526,,,,,
256,1.16.0.53.,03641 493-136,03641 493-127,gesundheitsamt@jena.de,03641493-121,,,,,
257,1.16.0.54.,03681 742-815,03681 742-843,gesundheitsamt@stadtsuhl.de,,,,,,
258,1.16.0.55.,03643 762-752,03643 762-755,gesundheitsamt@stadtweimar.de,,,,,,
259,1.16.0.61.,03606 650-5300,03606 650-9022,gesundheitsamt@kreis-eic.de,03606 650 5301,,03606 650 9099,,,
260,1.16.0.62.,03631 911 5400,03631 911 5449,gesundheitswesen@LRANDH.THUERINGEN.de,,,,,,
261,1.16.0.63.,03695 617410,03695 617499,gesundheitsamt@wartburgkreis.de,03691 670 460,,,,,
262,1.16.0.64.01.,03601 802-382,03601 802-383,gesundheitsamt@lrauh.thueringen.de,,,,,,
263,1.16.0.65.01.,03632 741-471,03632 741-472,gsa@kyffhaeuser.de,,,,,,
264,1.16.0.66.,+49 3693 485 8739,+49 3693 485 8273,hygiene@lra-sm.de,,,,,,
265,1.16.0.67.,03621 214-634,03621 214-665,Gesundheit@kreis-gth.de,03621 214 635,,,,,
266,1.16.0.68.,03634 354-781,03634 354-780,gesundheitsamt@lra-soemmerda.de,,,,,,
267,1.16.0.69.,03685 445-416,03685 445-501,Hygiene@lrahbn.thueringen.de,03685 4450,,,,,
268,1.16.0.70.02.,03628 738-501,03628 738-503,ges@ilm-kreis.de,03628 738-509 / 536,,,,,
269,1.16.0.71.,03644 540-580,03644 540-589,post.gesundheitsamt@wl.thueringen.de,,,,,,
270,1.16.0.72.,03675 871-247,03675 871-457,gesundheitsamt@lkson.de,,,03675 871-431,,,
271,1.16.0.73.02.,03671 823-674,03671 823-688,gesundheitsamt@kreis-slf.de,03671 823 669,,,,,
272,1.16.0.74.,036691 70-833,036691 70-753,ga@lrashk.thueringen.de,,,036691 70-757,,,
273,1.16.0.75.03.,03663 488-590,03663 488.491,gesundheit@lrasok.thueringen.de,03663 488-0,,,,,
274,1.16.0.76.,+49 3661 876-500,+49 3661 876-77500,hygiene@landkreis-greiz.de,,,03661  876 77 510,,,
275,1.16.0.77.,+49 3447 586-822,+49 3447 586-844,gesundheit@altenburgerland.de,,,,,,
276,1.03.4.59.,0541 501-0,0541 501-4730,gesundheit@lkos.de,,,,,,
277,1.03.4.60.,04441 898-0,04441 898-1034,gesundheitsamt@landkreis-vechta.de,,,,,,
278,1.03.4.61.,04401 927-511,04401 4285,susanne.huth@lkbra.de,,,,,,
279,1.03.4.62.,04462 86-01,04462 86-1504,gesundheitsamt@lk.wittmund.de,,,,,,
280,1.04.0.11.,+49 421 361-15113,+49 421-49615918,infektion@gesundheitsamt.bremen.de,,,,,,
281,1.04.0.12.,0471 590-2281,0471 590 3502382,gesundheitsamt@magistrat.bremerhaven.de,,,,,,
282,1.05.1.11.,0211-8992603,0211 89-29651,,0211-89 96090,gesundheitsschutz@duesseldorf.de,,,,
283,1.05.1.12.,0203 283-2755,0203 283-4340,gesundheitsamt@stadt-duisburg.de,0203 94000,,,,,
284,1.05.1.13.,0201 88-53000,0201 88-53015,aerztlicher-dienst@gesundheitsamt.essen.de,,,,,,
285,1.05.1.14.,02151 86-3500,02151 86-3552,gesundheitsamt@krefeld.de,,,,,,
286,1.05.1.16.,+49 2161 25-6500,+49 2161 25 6539,gesundheitsamt-hotline@moenchengladbach.de,,,,,,
287,1.05.1.17.,0208 455-5300,0208 455-5399,gesundheitsamt@muelheim-ruhr.de,,,,,,
288,1.05.1.19.,0208 825-2570,0208 825-3401,Bereich.Gesundheit@oberhausen.de,,,,,,
289,1.05.1.20.,02191 16-3901,02191 16-3281,gesundheit@remscheid.de,,,,,,
290,1.05.1.22.,0212 290 2511,0212 290-2730,stadtdienst.gesundheit@solingen.de,0212 290 2020,,,,,
291,1.05.1.24.,+49 202 563-2800,+49 202 563-4724,infektionshygiene@stadt.wuppertal.de,,,,,,
292,1.05.1.54.,02821 85-0,02821 85-530,Info@Kreis-Kleve.de,,,,,,
293,1.05.1.58.,02104 99-2251,02104 99-5253,Kreisgesundheitsamt@Kreis-Mettmann.de,,,,,,
294,1.05.1.62.,02181 601-5301,02181 601-5399,gesundheitsamt@rhein-kreis-neuss.de,,,,,,
295,1.05.1.66.,02162 391756,02162 391698,gesundheitsamt@kreis-viersen.de,,,,,,
296,1.05.1.70.,0281 2070,02841 202-1114,gesundheitswesen@kreis-wesel.de,,,,,,
297,1.05.3.14.,0228 77 3803,0228 - 77 961 96 02,Gesundheitsaufsicht@bonn.de,,corona@bonn.de,,,,
298,1.05.3.15.,0221 221-24728,0221 221-23553,gesundheitsamt@stadt-koeln.de,,,,,,
299,1.01.0.51.,0481 9749000,0481 974931,fd-gesundheitsschutz@dithmarschen.de,,,,,,
300,1.01.0.53.,+49 4541 888-380,+49 4541 888-259,gesundheitsdienste@kreis-rz.de,,,,,,
301,1.01.0.54.,+49 4841 67 0,+49 4841 67 89 4431,infektionsmeldungen@nordfriesland.de,0800 200 66 22,,,,,
302,1.06.4.40.,,06031 83 91 2310,gesundheitsamt@wetteraukreis.de,06031 83-2300,,,,,
303,1.06.5.31.,,+49 641 9390-1605,hygiene@lkgi.de,+49 641 9390 3560,,,,,
304,1.06.5.32.,06441 407-1616,06441 407-1067,gesundheitsamt@lahn-dill-kreis.de,,,,,,
305,1.01.0.56.,+49 4121- 4502-5000,+49 4121 4502-93510,gesundheitsamt@kreis-pinneberg.de,+49 4121- 4502-0,,,,reiserueckkehrer@kreis-pinneberg.de,+49 4121 4502-93777
306,1.01.0.57.,04522 743-531,04522 743-467,gesundheitsamt@kreis-ploen.de,,,,,,
307,1.01.0.58.,04331 202-560,04331 202-604,gesundheitsamt@kreis-rd.de,,infektionsschutz@kreis-rd.de,,,,
308,1.06.5.32.,06441 407-1616,06441 407-1067,gesundheitsamt@lahn-dill-kreis.de,,,,,,
309,1.06.5.33.,06431 296-613,06431 296-834,gesundheitsamt@limburg-weilburg.de,,,,,,
310,1.06.5.34.,06421 405-40,06421 405-4161,Gesundheitsamt@marburg-biedenkopf.de,,,,,,
311,1.06.5.35.,06641 977-170,06641 977-179,gesundheitsamt@vogelsbergkreis.de,,,,,,
312,1.01.0.59.,+49 4621 810-0,+49 4621 810-55,gesundheitsamt@schleswig-flensburg.de,04621 87-150,,04621 - 87 166,,,
313,1.01.0.60.,04551 951-9349,04551 951-9340,infektionsschutz@segeberg.de,,,,,,
314,1.01.0.61.,04821 69-390,04821 69-403,gesundheitsamt@steinburg.de,,,,,einreise@steinburg.de,
315,1.02.0.02.,+49 40 4 28 91-2220,+49 40 4 2891-3003,babergedorfgesundheitsamt@bergedorf.hamburg.de,,,,,corona-einreise@bergedorf.hamburg.de,
316,1.02.0.03.,+49 40 42801-3400,+49 40 42790 3371,infektionsschutz@eimsbuettel.hamburg.de,,,,,corona-einreise@eimsbuettel.hamburg.de,
317,1.02.0.04.,+49 40 42854-4631,+49 40 42790-1187,Gesundheitsamtmitte@hamburg-mitte.hamburg.de,,,,,corona-einreise@hamburg-mitte.hamburg.de,
318,1.02.0.05.,040 42804-2675,040 427904-008,Infektionsschutz@hamburg-nord.hamburg.de,,,,,corona-einreise@hamburg-nord.hamburg.de,
319,1.02.0.06.,,040 427 90  7190,gesundheitsamt@harburg.hamburg.de,040 428 71-2307,,,,corona-einreise@harburg.hamburg.de,
320,1.02.0.07.,,+49 40 4279 054 99,Infektionsschutz@wandsbek.hamburg.de,+49 40 428 81- 3494,Gesundheitsamt@wandsbek.hamburg.de,,,corona-einreise@wandsbek.hamburg.de,
321,1.03.1.01.,0531 470-7022,0531 470-7040,Gesundheitsamt@braunschweig.de,,gesundheitsschutz@braunschweig.de,,,,
322,1.03.1.02.,05341 839-2022,05341 839-2060,Gesundheit@Stadt.Salzgitter.de,,,,,,
323,1.03.1.03.,05361 28-2020,05361 28-2002,gesundheitsamt@stadt.wolfsburg.de,05361 28 5995,infektionsschutz@stadt.wolfsburg.de,05361 28 5111,,,
324,1.03.1.51.,05371 82-702,05371 82-358,gesundheitsamt@gifhorn.de,,,,,,
325,1.05.3.15.,0221 221-24728,0221 221-23553,gesundheitsamt@stadt-koeln.de,,,,,,
326,1.05.3.16.,,0214  4065302,infektionsschutz@stadt.leverkusen.de,,,,,,
327,1.05.3.34.,+49 241 51985300,+49 241 51985399,Gesundheitsamt@Staedteregion-Aachen.de,,,,,,
328,1.05.3.58.,+49 2421-221053210,+49 2421-222232,infektionserkrankungen@kreis-dueren.de,,,,,,
329,1.05.3.62.,+49 2271-83-15310,+49 2271-83-25310,gesundheitsamt@rhein-erft-kreis.de,,,,,,
330,1.05.3.66.,02251 15-0,02251 15-497,infektionsschutz@kreis-euskirchen.de,,,,,,
331,1.05.3.70.,02452 13-5311,02452 13-5395,gesundheitsamt@Kreis-Heinsberg.de,,,,,,
332,1.05.3.74.,02261 88-5305,02261 88-5300,amt53@obk.de,,,,,,
333,1.03.1.58.,05331 84-503,05331 84-513,gesundheitsamt@lk-wf.de,,,,,,
334,1.03.1.59.,0551 400-4802,0551 400-4930,gesundheitsamt@goettingen.de,,,,,,
335,1.03.2.41.,05 11 6 16-43434,0511  616-48576,hygiene@region-hannover.de,,coronavirus@region-hannover.de,,,,
336,1.03.2.51.,05441 976-1801,05441 976-1756,gesundheitsamt@diepholz.de,,,,,,
337,1.03.2.52.,05151 903-5555,05151 903-5002,gesundheit@hameln-pyrmont.de,,,,,,
338,1.05.3.74.,02261 88-5305,02261 88-5300,amt53@obk.de,,,,,,
339,1.05.3.78.,,02202 13 102699,gesundheitsamt@rbk-online.de,,,,,,
340,1.05.3.82.,02241 13-3535,02241 13-3082,gesundheitsamt@rhein-sieg-kreis.de,,,,,,
341,1.05.5.12.,+49 2041 70-30,+49 2041 70-3811,amt53@bottrop.de,,,,,,
342,1.05.5.13.,,0209 169-3505,referat.gesundheit@gelsenkirchen.de,,,,,,
343,1.05.5.15.,0251 492-5301,0251 492-7927,gesundheitsamt@stadt-muenster.de,,,,,,
344,1.05.5.54.,+49 2861 681 5809,+49 2861 681 82 1620,fax.f5320@kreis-borken.de,,,,,,
345,1.05.5.58.,02541 18-5300,02541 18-5499,gesundheit@kreis-coesfeld.de,,,,,,
346,1.05.5.62.,02361 53-1,02361 53-4623,Gesundheitsamt@kreis-recklinghausen.de,,,,,,
347,1.03.2.57.01.,+49 5721 703-2500,+49 5721 703-2558,gesundheitsamt@schaumburg.de,+49 5721 703 2570,corona@schaumburg.de,+49 5721 703 2585,,,
348,1.03.3.51.,05141 916-5000,05141 916-5099,Carsten.Bauer@lkcelle.de,,,,,,
349,1.03.3.52.,+49 4721-66 26 00,+49 4721 66270563,gesundheitsamt@Landkreis-Cuxhaven.de,,,,,,
350,1.03.3.53.,04171 693-372,04171 693-174,Gesundheitsamt@lkharburg.de,,,,,,
351,1.03.3.55.,+49 4131 26-1500,+49 4131 261703,gesundheitsamt@landkreis.lueneburg.de,,,,,,
352,1.05.5.62.,02361 53-1,02361 53-4623,Gesundheitsamt@kreis-recklinghausen.de,,,,,,
353,1.05.5.66.,02551 692820,02551 692801,gesundheitsamt@kreis-Steinfurt.de,,,,,,
354,1.05.5.70.,+49 2581 535300,+49 2581 535399,gesundheitsaufsicht@kreis-warendorf.de,,,,,,
355,1.05.7.11.,0521-516008,0521 51-3406,gesundheitsamt@bielefeld.de,,,,,,
356,1.05.7.54.,+49 5241 85 0,+49 5241 851717,abt24@gt-net.de,,,,,,
357,1.05.7.58.,05221 13-0,05221 13-172116,infektionsschutz@kreis-herford.de,,,,,,
358,1.05.7.62.,05271 965-2222,05271 965-2499,gesundheitsschutz@kreis-hoexter.de,,,,,,
359,1.05.7.66.,05231 62-1100,05231 62234,gesundheitsschutz@kreis-lippe.de,,,,,,
360,1.03.3.60.,0581 82-462,0581 82-474,info@gesundheitsamt-ue-dan.de,,,,,,
361,1.03.3.61.02.,04231 15-500,04231  15-607,jutta-dreyer@landkreis-verden.de,,,,,,
362,1.03.4.01.,04221 99-2616,04221 99-1231,gesundheit@delmenhorst.de,,,,,,
363,1.03.4.02.,04921 87-1650,04921/87 1679,gesundheitsaufsicht@emden.de,,,,,,
364,1.03.4.03.,0441 235-4444,0441 235-8620,gesundheitsamt@stadt-oldenburg.de,,,,,,
365,1.03.4.05.,04421 16-1570,04421 16-1569,gesundheitsamt@wilhelmshaven.de,,,,,,
366,1.03.4.51.,04488 5653-00,04488 56-5355,gesundheitsamt@ammerland.de,,,,,,
367,1.03.4.52.,04941 16-5300,04941 16-5349,gesundheitsaufsicht@landkreis-aurich.de,,,,,,
368,1.03.4.53.,04471 15-436 o.-248,04471-15330,gesundheitsamt@lkclp.de,,,,,,
369,1.03.4.54.,05931 44-4063,05931 44 3733,landkreis@emsland.de,,,,,reiserueckkehrer@emsland.de,
370,1.05.7.66.,05231 62-1100,05231 62234,gesundheitsschutz@kreis-lippe.de,,,,,,
371,1.05.7.70.,0571 807-0,0571-80738350,gesundheitsamt@minden-luebbecke.de,,Infektionsschutz@minden-luebbecke.de,,,,
372,1.05.7.74.,+49 5251 308-5332,+49 5251 308-5399,FB53@kreis-paderborn.de,,,,,einreise@kreis-paderborn.de,
373,1.05.9.11.,0234 910-3200,0234 910-1399,Amt53@bochum.de,,,,,,
374,1.05.9.13.,+49 23150-13149,+49 231  50-2 35 92,gesundheitsamt@dortmund.de,,,,,,
375,1.05.9.14.,02331 207-3555,02331 207-2453,gesundheitsamt@stadt-hagen.de,,,,,,
376,1.05.9.15.,+49 2381 17-6401,+49 2381 17-2983,gesundheitsamt@stadt.hamm.de,,,,,,
377,1.05.9.16.,+49 2323 161653,+49 2323 1612339282,gesundheitsaufsicht@herne.de,,,,,,
378,1.05.9.54.,+49 2336 93 2926,+49 2336 93 2537,infektionsschutz@en-kreis.de,,,,,,
379,1.05.9.58.,0291 94-2202,0291 94-1195,infektionsschutz@hochsauerlandkreis.de,,,,,,
380,1.05.9.62.,,02351 966 7164,gesundheitstelefon@maerkischer-kreis.de,02351 9667272,,,,,
381,1.05.9.66.,02761 81-436,02761 94503436,gesundheitsamt-meldungen@kreis-olpe.de,,,,,,
382,1.05.9.70.,0271 333-2800,0271 333-2810,gesundheit-verbraucherschutz@siegen-wittgenstein.de,,,,,,
383,1.05.9.74.,+49 2921 30-2127,+49 2921 30-2775,infektionsschutz@kreis-soest.de,,,,,,
384,1.05.9.78.,+49 2303 27 0,+49 2303 27 1299,fb53@kreis-unna.de,,,,,,
385,1.06.4.12.,+49 69 212 33970,+49 69-212 30415,info.gesundheitsamt@stadt-frankfurt.de,069 212-77400,corona@stadt-frankfurt.de,069 212-45073,,,
386,1.06.4.13.,069 8065-2111,069 8065 3453,hit.Gesundheitsamt@offenbach.de,,,,,,
387,1.06.4.14.,0611 31-2817,06 1131 39 71,gesundheitsamt@wiesbaden.de,,,,,,
388,1.06.4.31.,+49 6252 15-5396,+49 6252 15-5888,gesundheit@kreis-bergstrasse.de,,,,,,
389,1.06.4.32.,06151 3309-0,06151 319134,verwaltungsverband@gesundheitsamt-dadi.de,06151 3309 777,corona@gesundheitsamt-dadi.de,,06151 3309 777,,
390,1.06.4.33.,06152 989-0,06152 989-349,gesundheitsamt@kreisgg.de,,,,,,
391,1.06.4.34.,06172 999 0,06172 999-9806,gesundheitsamt@hochtaunuskreis.de,,,,,,
392,1.06.4.35.,06051 851-1650,06051 859 11677,hyg.gesundheitsamt@mkk.de,,,,,,
393,1.06.4.36.,06192 201-1130,06192 201-1731,gesundheitsamt@mtk.org,,,,,,
394,1.06.4.37.,06062 70-322,06062 70-448,gesundheitsamt@odenwaldkreis.de,,,,,,
395,1.06.4.38.,06074 8180-63707,06074 8180-1920,gesundheit@kreis-offenbach.de,06074 8180-2222,reise-corona@kreis-offenbach.de,06074 8180-6260,,,
396,1.06.4.39.,06124 510-352,06124 510-388,gesundheitsamt.badschwalbach@rheingau-taunus.de,,,,,,
397,1.06.4.40.,,06031 83 91 2310,gesundheitsamt@wetteraukreis.de,06031 83-2300,,,,,
398,1.02.0.08.,,,,,,,,,
399,1.11.0.11.09.,030 5504-2433,030 5504-4159,,,,,,,
